osm_id,highway,lanes,maxspeed,name,oneway,WKT
1075,residential,nan,nan,Los Limoncillos,nan,"LINESTRING (-77.0761205 -11.9882107, -77.0761574 -11.9889043)"
1076,residential,nan,nan,Los Limoncillos,nan,"LINESTRING (-77.0761574 -11.9889043, -77.0762257 -11.9898763)"
1077,residential,nan,nan,Calle Los Pepinos,nan,"LINESTRING (-77.0761574 -11.9889043, -77.0757338 -11.9889274)"
1078,residential,nan,nan,Los Limoncillos,nan,"LINESTRING (-77.0762257 -11.9898763, -77.0762629 -11.9905518)"
1079,residential,nan,nan,Los Olivares,nan,"LINESTRING (-77.0762257 -11.9898763, -77.0757779 -11.9898994)"
108,residential,2,nan,Emilio de Los Rios,nan,"LINESTRING (-77.0705806 -11.9666609, -77.0693074 -11.9661115)"
1080,residential,nan,nan,Los Capitales,nan,"LINESTRING (-77.0756719 -11.9870413, -77.0757169 -11.9882348)"
1081,residential,nan,nan,Los Amarantos,nan,"LINESTRING (-77.0756719 -11.9870413, -77.0752402 -11.9869834)"
1082,residential,nan,nan,Tritoma,nan,"LINESTRING (-77.0757169 -11.9882348, -77.0761205 -11.9882107)"
1083,residential,nan,nan,Los Capitales,nan,"LINESTRING (-77.0757338 -11.9889274, -77.0757779 -11.9898994)"
